# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       361       36.100       614.44      0.06421239   -756.75623605   -756.69202367
       362       36.200       648.11      0.06773100   -756.75724807   -756.68951707
       363       36.300       685.32      0.07161947   -756.75830803   -756.68668855
       364       36.400       718.13      0.07504756   -756.75940850   -756.68436094
       365       36.500       747.26      0.07809275   -756.76053736   -756.68244461
       366       36.600       782.15      0.08173824   -756.76168399   -756.67994574
       367       36.700       811.64      0.08482022   -756.76284393   -756.67802372
       368       36.800       849.04      0.08872880   -756.76400350   -756.67527470
       369       36.900       860.48      0.08992384   -756.76515496   -756.67523112
       370       37.000       888.86      0.09288999   -756.76626710   -756.67337711
       371       37.100       915.82      0.09570758   -756.76733232   -756.67162474
       372       37.200       943.09      0.09855718   -756.76832467   -756.66976749
       373       37.300       967.39      0.10109666   -756.76921315   -756.66811649
       374       37.400       987.72      0.10322110   -756.76995936   -756.66673826
       375       37.500      1014.81      0.10605216   -756.77052078   -756.66446862
       376       37.600      1025.18      0.10713666   -756.77085232   -756.66371566
       377       37.700      1012.80      0.10584234   -756.77090395   -756.66506160
       378       37.800       995.53      0.10403793   -756.77063714   -756.66659921
       379       37.900       955.33      0.09983663   -756.77002546   -756.67018884
       380       38.000       918.35      0.09597212   -756.76906707   -756.67309495
       381       38.100       864.63      0.09035821   -756.76777538   -756.67741717
       382       38.200       817.30      0.08541140   -756.76620861   -756.68079721
       383       38.300       751.64      0.07854988   -756.76443997   -756.68589009
       384       38.400       689.15      0.07201988   -756.76260821   -756.69058833
       385       38.500       635.34      0.06639629   -756.76086081   -756.69446452
       386       38.600       583.00      0.06092594   -756.75935109   -756.69842516
       387       38.700       536.56      0.05607291   -756.75824025   -756.70216733
       388       38.800       518.03      0.05413713   -756.75765531   -756.70351819
       389       38.900       522.62      0.05461626   -756.75765114   -756.70303488
       390       39.000       543.86      0.05683617   -756.75822879   -756.70139262
       391       39.100       578.45      0.06045027   -756.75932705   -756.69887678
       392       39.200       620.44      0.06483897   -756.76082986   -756.69599089
       393       39.300       675.26      0.07056820   -756.76258578   -756.69201758
       394       39.400       735.01      0.07681177   -756.76444786   -756.68763609
       395       39.500       800.55      0.08366162   -756.76627688   -756.68261526
       396       39.600       853.96      0.08924332   -756.76796229   -756.67871896
       397       39.700       900.38      0.09409382   -756.76941291   -756.67531910
       398       39.800       937.11      0.09793233   -756.77058302   -756.67265069
       399       39.900       960.94      0.10042246   -756.77145453   -756.67103208
       400       40.000       967.59      0.10111803   -756.77203088   -756.67091285
       401       40.100       966.34      0.10098688   -756.77233281   -756.67134593
       402       40.200       971.51      0.10152770   -756.77239106   -756.67086335
       403       40.300       965.75      0.10092552   -756.77223850   -756.67131297
       404       40.400       950.63      0.09934531   -756.77190716   -756.67256186
       405       40.500       926.01      0.09677210   -756.77143067   -756.67465856
       406       40.600       902.64      0.09433028   -756.77084170   -756.67651143
       407       40.700       870.26      0.09094640   -756.77016663   -756.67922023
       408       40.800       832.55      0.08700516   -756.76943096   -756.68242580
       409       40.900       805.16      0.08414277   -756.76865832   -756.68451555
       410       41.000       780.03      0.08151679   -756.76785883   -756.68634204
       411       41.100       754.80      0.07887969   -756.76704472   -756.68816504
       412       41.200       724.02      0.07566400   -756.76622761   -756.69056361
       413       41.300       687.01      0.07179554   -756.76542219   -756.69362666
       414       41.400       662.73      0.06925817   -756.76464475   -756.69538658
       415       41.500       637.76      0.06664924   -756.76390032   -756.69725107
       416       41.600       610.57      0.06380759   -756.76320183   -756.69939424
       417       41.700       573.31      0.05991345   -756.76256384   -756.70265039
       418       41.800       559.10      0.05842822   -756.76200607   -756.70357785
       419       41.900       541.65      0.05660517   -756.76152859   -756.70492342
       420       42.000       525.98      0.05496757   -756.76114444   -756.70617687
       421       42.100       518.72      0.05420868   -756.76086228   -756.70665360
       422       42.200       508.19      0.05310806   -756.76068578   -756.70757772
       423       42.300       506.06      0.05288582   -756.76061944   -756.70773362
       424       42.400       499.82      0.05223358   -756.76066279   -756.70842921
       425       42.500       507.44      0.05303011   -756.76081314   -756.70778304
       426       42.600       518.69      0.05420591   -756.76106601   -756.70686010
       427       42.700       526.35      0.05500626   -756.76141511   -756.70640885
       428       42.800       544.00      0.05685092   -756.76185046   -756.70499954
       429       42.900       558.81      0.05839814   -756.76236628   -756.70396814
       430       43.000       578.26      0.06043136   -756.76295223   -756.70252087
       431       43.100       603.88      0.06310797   -756.76360221   -756.70049424
       432       43.200       628.54      0.06568570   -756.76431208   -756.69862639
       433       43.300       649.83      0.06791074   -756.76507519   -756.69716446
       434       43.400       671.37      0.07016144   -756.76588439   -756.69572295
       435       43.500       701.86      0.07334752   -756.76673501   -756.69338750
       436       43.600       720.74      0.07532075   -756.76762745   -756.69230670
